date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:03:58	6521/6521	---M-Z	200	added ('OK')	text/html	etag:%22efd58ae6923568459a9f4426dc4d513f%22	http://www.vcstracker.co.uk/2	./www.vcstracker.co.uk/2/index.html	(from http://www.vcstracker.co.uk/)
11:03:58	6541/6541	---M-Z	200	added ('OK')	text/html	etag:%22efd58ae6923568459a9f4426dc4d513f%22	http://www.vcstracker.co.uk/slideshow-1	./www.vcstracker.co.uk/slideshow-1/index.html	(from http://www.vcstracker.co.uk/)
11:03:59	14429/14429	---M-Z	200	added ('OK')	text/html	etag:%22efd58ae6923568459a9f4426dc4d513f%22	http://www.vcstracker.co.uk/privacy-cookies	./www.vcstracker.co.uk/privacy-cookies/index.html	(from http://www.vcstracker.co.uk/)
11:03:59	9739/9739	---M-Z	200	added ('OK')	application/rss+xml	etag:%2205b1a51415716921a4e55aa9d9b5979f%22	http://www.vcstracker.co.uk/rss.xml	./www.vcstracker.co.uk/rss/index.xml	(from http://www.vcstracker.co.uk/)
11:04:00	7611/7611	---M-Z	200	added ('OK')	text/html	etag:%228fc729021d4541e27e9df45ddd9f2e7f%22	http://www.vcstracker.co.uk/user/login	./www.vcstracker.co.uk/user/login/index.html	(from http://www.vcstracker.co.uk/)
11:04:20	31663/31663	---M--	200	added ('OK')	image/jpeg	etag:%22bff3ee-7baf-4b202920f5640%22	http://www.vcstracker.co.uk/sites/www.vcstracker.co.uk/files/slide2.jpg	./www.vcstracker.co.uk/sites/www.vcstracker.co.uk/files/slide2/index.jpg	(from http://www.vcstracker.co.uk/)
11:04:20	32684/32684	---M--	200	added ('OK')	image/jpeg	etag:%22bff3c3-7fac-4b202975d5e80%22	http://www.vcstracker.co.uk/sites/www.vcstracker.co.uk/files/slide1.jpg	./www.vcstracker.co.uk/sites/www.vcstracker.co.uk/files/slide1/index.jpg	(from http://www.vcstracker.co.uk/)
11:04:20	23575/23575	---M--	200	added ('OK')	image/jpeg	etag:%22bff3fd-5c17-4b202989dcdc0%22	http://www.vcstracker.co.uk/sites/www.vcstracker.co.uk/files/slide3.jpg	./www.vcstracker.co.uk/sites/www.vcstracker.co.uk/files/slide3/index.jpg	(from http://www.vcstracker.co.uk/)
11:04:22	2483/2483	---M--	200	added ('OK')	application/javascript	etag:%22bffdc9-9b3-4652e3b155f40%22	http://www.vcstracker.co.uk/sites/www.vcstracker.co.uk/modules/google_analytics/googleanalytics.js	./www.vcstracker.co.uk/sites/www.vcstracker.co.uk/modules/google_analytics/googleanalytics/index.js	(from http://www.vcstracker.co.uk/)
11:04:22	106/106	---M--	200	added ('OK')	image/png	etag:%22c01e85-6a-3dd504baec8c0%22	http://www.vcstracker.co.uk/misc/menu-expanded.png	./www.vcstracker.co.uk/misc/menu-expanded/index.png	(from http://www.vcstracker.co.uk/sites/www.vcstracker.co.uk/files/css/6984322485786105e1f51ac8823d3a45.css)
